Index,Cord,Time,HBin,SBin,Site,200000_0,200001_0,200002_0,200003_0,200004_0,200005_0,200006_0,200007_0,200008_0,200009_0,200010_0,200011_0,200012_0,200013_0,200014_0,200015_0,200016_0,200017_0,200018_0,200019_0,200020_0,200021_0,200022_0,200023_0,200024_0,200025_0,200026_0,200027_0,200028_0,200029_0,200030_0,200031_0,200032_0,200033_0,200034_0,200035_0,200036_0,200037_0,200038_0,200039_0,200040_0,200041_0,200042_0,200043_0,200044_0,200045_0,200046_0,200047_0,200048_0,200049_0,200050_0,200051_0,200052_0,200053_0,200054_0,200055_0,200056_0,200057_0,200058_0,200059_0,200060_0,200061_0,200062_0,200063_0,200064_0,200065_0,200066_0,200067_0,200068_0,200069_0,200070_0,200071_0,200072_0,200073_0,200074_0,200075_0,200076_0,200077_0,200078_0,200079_0,200080_0,200081_0,200082_0,200083_0,200084_0,200085_0,200086_0,200087_0,200088_0,200089_0,200090_0,200091_0,200092_0,200093_0,200094_0,200095_0,200096_0,200097_0,200098_0,200099_0,200100_0,200101_0,200102_0,200103_0,200104_0,200105_0,200106_0,200107_0,200108_0,200109_0,200110_0,200111_0,200112_0,200113_0,200114_0,200115_0,200116_0,200117_0,200118_0,200119_0,200120_0,200121_0,200122_0,200123_0,200124_0,200125_0,200126_0,200127_0,200128_0,200129_0,200130_0,200131_0,200132_0,200133_0,200134_0,200135_0,200136_0,200137_0,200138_0,200139_0,200140_0,200141_0,200142_0,200143_0,200144_0,200145_0,200146_0,200147_0,200148_0,200149_0,200150_0,200151_0,200152_0,200153_0,200154_0,200155_0,200156_0,200157_0,200158_0,200159_0,200160_0,200161_0,200162_0,200163_0,200164_0,200165_0,200166_0,200167_0,200168_0,200169_0,200170_0,200171_0,200172_0,200173_0,200174_0,200175_0,200176_0,200177_0,200178_0,200179_0,200180_0,200181_0,200182_0,200183_0,200184_0,200185_0,200186_0,200187_0,200188_0,200189_0,200190_0,200191_0,200192_0,200193_0,200194_0,200195_0,200196_0,200197_0,200198_0,200199_0,200200_0,200201_0,201000_0,201001_0,201002_0,201003_0,201004_0,201005_0,201006_0,201007_0,201008_0,201009_0,201010_0,201011_0,201012_0,201013_0,201014_0,201015_0,201016_0,201017_0,201018_0,201019_0,201020_0,201021_0,201022_0,201023_0,201024_0,201025_0,201026_0,201027_0,201028_0,201029_0,201030_0,201031_0,201032_0,201033_0,201034_0,201035_0,201036_0,201037_0,201038_0,201039_0,201040_0,201041_0,201042_0,201043_0,201044_0,201045_0,201046_0,201047_0,201048_0,201049_0,201050_0,201051_0,201052_0,201053_0,201054_0,201055_0,201056_0,201057_0,201058_0,201059_0,201060_0,201061_0,201062_0,201063_0,201064_0,201065_0,201066_0,201067_0,201068_0,201069_0,201070_0,201071_0,201072_0,201073_0,201074_0,201075_0,201076_0,201077_0,201078_0,201079_0,201080_0,201081_0,201082_0,201083_0,201084_0,201085_0,201086_0,201087_0,201088_0,201089_0,201090_0,201091_0,201092_0,201093_0,201094_0,201095_0,201096_0,201097_0,201098_0,201099_0,201100_0,201101_0,201102_0,201103_0,201104_0,201105_0,201106_0,201107_0,201108_0,201109_0,201110_0,201111_0,201112_0,201113_0,201114_0,201115_0,201116_0,201117_0,201118_0,201119_0,201120_0,201121_0,201122_0,201123_0,201124_0,201125_0,201126_0,201127_0,201128_0,201129_0,201130_0,201131_0,201132_0,201133_0,201134_0,201135_0,201136_0,201137_0,201138_0,201139_0,201140_0,201141_0,201142_0,201143_0,201144_0,201145_0,201146_0,201147_0,201148_0,201149_0,201150_0,201151_0,201152_0,201153_0,201154_0,201155_0,201156_0,201157_0,201158_0,201159_0,201160_0,201161_0,201162_0,201163_0,201164_0,201165_0,201166_0,201167_0,201168_0,201169_0,201170_0,201171_0,201172_0,201173_0,201174_0,201175_0,201176_0,201177_0,201178_0,201179_0,201180_0,201181_0,201182_0,201183_0,201184_0,201185_0,201186_0,201187_0,201188_0,201189_0,201190_0,201191_0,201192_0,201193_0,201194_0,201195_0,201196_0,201197_0,201198_0,201199_0,201200_0,201201_0,401000_0,401001_0,402000_0,402001_0,402002_0,403000_0,403001_0,403002_0,403003_0,404000_0,404001_0,404002_0,404003_0,405000_0,405001_0,405002_0,405003_0,406000_0,406001_0,406002_0,407000_0,407001_0,407002_0,407003_0,407004_0,407005_0,407006_0,407007_0,407008_0,407009_0,417000_0,418000_0,418001_0,418002_0,418003_0,418004_0,418005_0,418006_0,418007_0,418008_0
TestText,,,,,,continuityToPWR X_PAD37 67174482,continuityToPWR X_PAD38 94,continuityToPWR X_PAD36 223,continuityToPWR X_PAD33 95,continuityToPWR X_PAD30 93,continuityToPWR X_PAD54 92,continuityToPWR X_PAD47 90,continuityToPWR X_PAD53 91,continuityToPWR X_PAD46 89,continuityToPWR X_PAD44 88,continuityToPWR X_PAD48 87,continuityToPWR X_PAD41 83,continuityToPWR X_PAD39 84,continuityToPWR X_PAD55 86,continuityToPWR X_PAD60 67305566,continuityToPWR X_PAD57 218,continuityToPWR X_PAD71 67305565,continuityToPWR X_PAD67 67174486,continuityToPWR X_PAD64 67305567,continuityToPWR X_PAD62 67305554,continuityToPWR X_PAD73 67174485,continuityToPWR X_PAD166 252,continuityToPWR X_PAD165 251,continuityToPWR X_PAD163 250,continuityToPWR X_PAD160 249,continuityToPWR X_PAD157 126,continuityToPWR X_PAD159 67174514,continuityToPWR X_PAD153 123,continuityToPWR X_PAD151 122,continuityToPWR X_PAD130 67174517,continuityToPWR X_PAD131 67174519,continuityToPWR X_PAD133 119,continuityToPWR X_PAD136 117,continuityToPWR X_PAD138 67174523,continuityToPWR X_PAD140 116,continuityToPWR X_PAD142 115,continuityToPWR X_PAD123 67174526,continuityToPWR X_PAD124 67174525,continuityToPWR X_PAD137 248,continuityToPWR X_PAD141 247,continuityToPWR X_ESR0 67305594,continuityToPWR X_PAD122 244,continuityToPWR X_PAD121 243,continuityToPWR X_PAD169 254,continuityToPWR X_PAD171 253,continuityToPWR X_PAD172 255,continuityToPWR X_PAD175 236,continuityToPWR X_PAD176 237,continuityToPWR X_PAD177 234,continuityToPWR X_PAD183 233,continuityToPWR X_PAD185 231,continuityToPWR X_PAD179 232,continuityToPWR X_PAD187 230,continuityToPWR X_PAD188 228,continuityToPWR X_PAD192 67305580,continuityToPWR X_PAD190 67305579,continuityToPWR X_PAD194 67305581,continuityToPWR X_PAD196 67305582,continuityToPWR X_SPLIT_SEL 127,continuityToPWR X_PAD12 67174499,continuityToPWR X_PAD10 67174500,continuityToPWR X_PAD8 67174501,continuityToPWR X_PAD4 67174502,continuityToPWR X_PAD17 67174504,continuityToPWR X_PAD5 67305583,continuityToPWR X_PAD0 103,continuityToPWR X_PAD16 100,continuityToPWR X_PAD15 102,continuityToPWR X_PAD23 99,continuityToPWR X_PAD22 96,continuityToPWR X_PAD25 97,continuityToPWR X_PAD21 98,continuityToPWR X_PAD19 67174512,continuityToPWR X_PAD27 67174513,continuityToPWR X_PAD105 67174470,continuityToPWR X_PAD120 67174467,continuityToPWR X_PAD115 67174475,continuityToPWR X_PAD116 67174466,continuityToPWR X_PAD114 67174464,continuityToPWR X_PAD118 67174469,continuityToPWR X_XTALO 70,continuityToPWR X_PAD110 69,continuityToPWR X_JTAG_TRST 67305552,continuityToPWR X_PAD111 68,continuityToPWR X_JTAG_TMS 67305553,continuityToPWR X_PAD83 67174471,continuityToPWR X_PAD94 67305556,continuityToPWR X_PAD95 67305557,continuityToPWR X_PAD98 67305558,continuityToPWR X_PAD101 211,continuityToPWR X_PAD104 67305559,continuityToPWR X_PAD82 67,continuityToPWR X_PAD89 66,continuityToPWR X_PAD91 65,continuityToPWR X_PAD92 67174478,continuityToPWR X_PAD88 67174477,continuityToPWR X_PAD90 82,continuityToPWR X_PAD150 67174498,continuityToPWR X_TESTMODE 67174496,continuityToPWR X_PAD35 67305561,continuityToPWR X_PAD32 67174495,continuityToPWR X_PAD34 67174493,continuityToPWR X_PAD31 67174494,continuityToPWR X_PAD52 67174489,continuityToPWR X_PAD50 80,continuityToPWR X_PAD51 67174492,continuityToPWR X_PAD49 67174490,continuityToPWR X_PAD42 67174480,continuityToPWR X_PAD40 67174481,continuityToPWR X_PAD45 67174484,continuityToPWR X_PAD56 67174483,continuityToPWR X_PAD43 67174488,continuityToPWR X_PAD59 221,continuityToPWR X_PAD58 67305564,continuityToPWR X_PAD69 85,continuityToPWR X_PAD70 222,continuityToPWR X_PAD68 67174491,continuityToPWR X_PAD77 217,continuityToPWR X_PAD76 220,continuityToPWR X_PAD75 81,continuityToPWR X_PAD168 67305569,continuityToPWR X_PAD167 67305586,continuityToPWR X_PAD164 67305588,continuityToPWR X_PAD162 67305589,continuityToPWR X_PAD161 67305591,continuityToPWR X_PAD154 67174497,continuityToPWR X_PAD156 124,continuityToPWR X_PAD158 235,continuityToPWR X_PAD152 67174516,continuityToPWR X_PAD132 121,continuityToPWR X_PAD129 120,continuityToPWR X_PAD145 67174520,continuityToPWR X_PAD147 67174521,continuityToPWR X_PAD146 67174522,continuityToPWR X_PAD149 118,continuityToPWR X_PAD148 229,continuityToPWR X_PAD144 67174527,continuityToPWR X_PAD126 114,continuityToPWR X_PAD127 113,continuityToPWR X_PAD139 67305592,continuityToPWR X_CLKSEL 67174524,continuityToPWR X_BUCKSEL 111,continuityToPWR X_ESR1 245,continuityToPWR X_PAD65 67305593,continuityToPWR X_PAD63 67305595,continuityToPWR X_PAD122 244,continuityToPWR X_PAD121 243,continuityToPWR X_PAD170 67305568,continuityToPWR X_PAD180 67305572,continuityToPWR X_PAD174 67305570,continuityToPWR X_PAD173 67305574,continuityToPWR X_PAD184 67305571,continuityToPWR X_PAD181 67305573,continuityToPWR X_PAD182 67305576,continuityToPWR X_PAD178 67305575,continuityToPWR X_PAD186 67305577,continuityToPWR X_PAD189 67305578,continuityToPWR X_PAD193 227,continuityToPWR X_PAD191 224,continuityToPWR X_PAD195 225,continuityToPWR X_PAD197 226,continuityToPWR X_PAD11 109,continuityToPWR X_PAD9 108,continuityToPWR X_PAD7 106,continuityToPWR X_PAD3 105,continuityToPWR X_PAD6 104,continuityToPWR X_PAD2 67174505,continuityToPWR X_PAD26 67174506,continuityToPWR X_PAD1 67174503,continuityToPWR X_PAD24 67174507,continuityToPWR X_PAD13 67174508,continuityToPWR X_PAD14 67174509,continuityToPWR X_PAD28 67174510,continuityToPWR X_PAD29 67174511,continuityToPWR X_PAD20 101,continuityToPWR X_PAD18 107,continuityToPWR X_PAD106 76,continuityToPWR X_PAD119 75,continuityToPWR X_PAD113 74,continuityToPWR X_PAD117 73,continuityToPWR X_PAD108 72,continuityToPWR X_PAD107 71,continuityToPWR X_XTALI 207,continuityToPWR X_PAD109 67174465,continuityToPWR X_PAD81 210,continuityToPWR X_PAD112 67174468,continuityToPWR X_JTAG_TCK 212,continuityToPWR X_PAD93 209,continuityToPWR X_PAD96 215,continuityToPWR X_PAD97 213,continuityToPWR X_PAD102 67305560,continuityToPWR X_PAD103 216,continuityToPWR X_PAD100 219,continuityToPWR X_PAD86 67174472,continuityToPWR X_PAD85 67174474,continuityToPWR X_PAD99 67305562,continuityToPWR X_PAD84 64,continuityToPWR X_PAD72 214,continuityToPWR X_PAD87 67174487,continuityToPWR X_PAD74 67305563,continuityToPWR X_HW_RSTN 125,continuityToPWR X_PAD66 246,continuityToGND X_PAD37 67174482,continuityToGND X_PAD38 94,continuityToGND X_PAD36 223,continuityToGND X_PAD33 95,continuityToGND X_PAD30 93,continuityToGND X_PAD54 92,continuityToGND X_PAD47 90,continuityToGND X_PAD53 91,continuityToGND X_PAD46 89,continuityToGND X_PAD44 88,continuityToGND X_PAD48 87,continuityToGND X_PAD41 83,continuityToGND X_PAD39 84,continuityToGND X_PAD55 86,continuityToGND X_PAD60 67305566,continuityToGND X_PAD57 218,continuityToGND X_PAD71 67305565,continuityToGND X_PAD67 67174486,continuityToGND X_PAD64 67305567,continuityToGND X_PAD62 67305554,continuityToGND X_PAD73 67174485,continuityToGND X_PAD166 252,continuityToGND X_PAD165 251,continuityToGND X_PAD163 250,continuityToGND X_PAD160 249,continuityToGND X_PAD157 126,continuityToGND X_PAD159 67174514,continuityToGND X_PAD153 123,continuityToGND X_PAD151 122,continuityToGND X_PAD130 67174517,continuityToGND X_PAD131 67174519,continuityToGND X_PAD133 119,continuityToGND X_PAD136 117,continuityToGND X_PAD138 67174523,continuityToGND X_PAD140 116,continuityToGND X_PAD142 115,continuityToGND X_PAD123 67174526,continuityToGND X_PAD124 67174525,continuityToGND X_PAD137 248,continuityToGND X_PAD141 247,continuityToGND X_ESR0 67305594,continuityToGND X_PAD122 244,continuityToGND X_PAD121 243,continuityToGND X_PAD169 254,continuityToGND X_PAD171 253,continuityToGND X_PAD172 255,continuityToGND X_PAD175 236,continuityToGND X_PAD176 237,continuityToGND X_PAD177 234,continuityToGND X_PAD183 233,continuityToGND X_PAD185 231,continuityToGND X_PAD179 232,continuityToGND X_PAD187 230,continuityToGND X_PAD188 228,continuityToGND X_PAD192 67305580,continuityToGND X_PAD190 67305579,continuityToGND X_PAD194 67305581,continuityToGND X_PAD196 67305582,continuityToGND X_SPLIT_SEL 127,continuityToGND X_PAD12 67174499,continuityToGND X_PAD10 67174500,continuityToGND X_PAD8 67174501,continuityToGND X_PAD4 67174502,continuityToGND X_PAD17 67174504,continuityToGND X_PAD5 67305583,continuityToGND X_PAD0 103,continuityToGND X_PAD16 100,continuityToGND X_PAD15 102,continuityToGND X_PAD23 99,continuityToGND X_PAD22 96,continuityToGND X_PAD25 97,continuityToGND X_PAD21 98,continuityToGND X_PAD19 67174512,continuityToGND X_PAD27 67174513,continuityToGND X_PAD105 67174470,continuityToGND X_PAD120 67174467,continuityToGND X_PAD115 67174475,continuityToGND X_PAD116 67174466,continuityToGND X_PAD114 67174464,continuityToGND X_PAD118 67174469,continuityToGND X_XTALO 70,continuityToGND X_PAD110 69,continuityToGND X_JTAG_TRST 67305552,continuityToGND X_PAD111 68,continuityToGND X_JTAG_TMS 67305553,continuityToGND X_PAD83 67174471,continuityToGND X_PAD94 67305556,continuityToGND X_PAD95 67305557,continuityToGND X_PAD98 67305558,continuityToGND X_PAD101 211,continuityToGND X_PAD104 67305559,continuityToGND X_PAD82 67,continuityToGND X_PAD89 66,continuityToGND X_PAD91 65,continuityToGND X_PAD92 67174478,continuityToGND X_PAD88 67174477,continuityToGND X_PAD90 82,continuityToGND X_PAD150 67174498,continuityToGND X_TESTMODE 67174496,continuityToGND X_PAD35 67305561,continuityToGND X_PAD32 67174495,continuityToGND X_PAD34 67174493,continuityToGND X_PAD31 67174494,continuityToGND X_PAD52 67174489,continuityToGND X_PAD50 80,continuityToGND X_PAD51 67174492,continuityToGND X_PAD49 67174490,continuityToGND X_PAD42 67174480,continuityToGND X_PAD40 67174481,continuityToGND X_PAD45 67174484,continuityToGND X_PAD56 67174483,continuityToGND X_PAD43 67174488,continuityToGND X_PAD59 221,continuityToGND X_PAD58 67305564,continuityToGND X_PAD69 85,continuityToGND X_PAD70 222,continuityToGND X_PAD68 67174491,continuityToGND X_PAD77 217,continuityToGND X_PAD76 220,continuityToGND X_PAD75 81,continuityToGND X_PAD168 67305569,continuityToGND X_PAD167 67305586,continuityToGND X_PAD164 67305588,continuityToGND X_PAD162 67305589,continuityToGND X_PAD161 67305591,continuityToGND X_PAD154 67174497,continuityToGND X_PAD156 124,continuityToGND X_PAD158 235,continuityToGND X_PAD152 67174516,continuityToGND X_PAD132 121,continuityToGND X_PAD129 120,continuityToGND X_PAD145 67174520,continuityToGND X_PAD147 67174521,continuityToGND X_PAD146 67174522,continuityToGND X_PAD149 118,continuityToGND X_PAD148 229,continuityToGND X_PAD144 67174527,continuityToGND X_PAD126 114,continuityToGND X_PAD127 113,continuityToGND X_PAD139 67305592,continuityToGND X_CLKSEL 67174524,continuityToGND X_BUCKSEL 111,continuityToGND X_ESR1 245,continuityToGND X_PAD65 67305593,continuityToGND X_PAD63 67305595,continuityToGND X_PAD122 244,continuityToGND X_PAD121 243,continuityToGND X_PAD170 67305568,continuityToGND X_PAD180 67305572,continuityToGND X_PAD174 67305570,continuityToGND X_PAD173 67305574,continuityToGND X_PAD184 67305571,continuityToGND X_PAD181 67305573,continuityToGND X_PAD182 67305576,continuityToGND X_PAD178 67305575,continuityToGND X_PAD186 67305577,continuityToGND X_PAD189 67305578,continuityToGND X_PAD193 227,continuityToGND X_PAD191 224,continuityToGND X_PAD195 225,continuityToGND X_PAD197 226,continuityToGND X_PAD11 109,continuityToGND X_PAD9 108,continuityToGND X_PAD7 106,continuityToGND X_PAD3 105,continuityToGND X_PAD6 104,continuityToGND X_PAD2 67174505,continuityToGND X_PAD26 67174506,continuityToGND X_PAD1 67174503,continuityToGND X_PAD24 67174507,continuityToGND X_PAD13 67174508,continuityToGND X_PAD14 67174509,continuityToGND X_PAD28 67174510,continuityToGND X_PAD29 67174511,continuityToGND X_PAD20 101,continuityToGND X_PAD18 107,continuityToGND X_PAD106 76,continuityToGND X_PAD119 75,continuityToGND X_PAD113 74,continuityToGND X_PAD117 73,continuityToGND X_PAD108 72,continuityToGND X_PAD107 71,continuityToGND X_XTALI 207,continuityToGND X_PAD109 67174465,continuityToGND X_PAD81 210,continuityToGND X_PAD112 67174468,continuityToGND X_JTAG_TCK 212,continuityToGND X_PAD93 209,continuityToGND X_PAD96 215,continuityToGND X_PAD97 213,continuityToGND X_PAD102 67305560,continuityToGND X_PAD103 216,continuityToGND X_PAD100 219,continuityToGND X_PAD86 67174472,continuityToGND X_PAD85 67174474,continuityToGND X_PAD99 67305562,continuityToGND X_PAD84 64,continuityToGND X_PAD72 214,continuityToGND X_PAD87 67174487,continuityToGND X_PAD74 67305563,continuityToGND X_HW_RSTN 125,continuityToGND X_PAD66 246,DFT_CHIP_STUCK,DFT_CHIP_STUCK,DFT_CHIP_TRANS.0,DFT_CHIP_TRANS.0,DFT_CHIP_TRANS.1,DFT_RETARGETING1_STUCK,DFT_RETARGETING1_STUCK,DFT_RETARGETING1_STUCK,DFT_RETARGETING1_STUCK,DFT_RETARGETING1_TRANS.0,DFT_RETARGETING1_TRANS.1,DFT_RETARGETING1_TRANS.2,DFT_RETARGETING1_TRANS.3,DFT_RETARGETING2_STUCK,DFT_RETARGETING2_STUCK,DFT_RETARGETING2_STUCK,DFT_RETARGETING2_STUCK,DFT_RETARGETING2_TRANS,DFT_RETARGETING2_TRANS,DFT_RETARGETING2_TRANS,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_ICLNETWORK,DFT_JtagBscan,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST,DFT_MBIST
HiLimit,,,,,,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
LoLimit,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Unit,,,,,,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
